feature,stress_mean,growth_mean,effect_size,ratio
week_ret,-0.04209424987955275,0.055715811210161864,-4.892566042030002,-0.7555171317666337
dd_delta,0.04322398692748402,-0.01486358723833013,2.3184044357981954,-2.9080454290346722
dd_max,0.08655041646772141,0.02568854000387918,1.7061065813608747,3.3692228696006694
dd_worsen,0.06304687940833648,0.004217000646742715,3.051200864406187,14.950644946434851
worst_day,-0.04167039682908833,-0.0017951586965331866,-2.3608605647740366,23.21265351612772
avg_pos,17.52608695652174,19.24264705882353,-0.25293943008229164,0.9107939725208088
paa_share,0.13043478260869565,0.08823529411764706,0.13296049473047855,1.4782608695652173
stop_count,1.0869565217391304,0.3235294117647059,0.5147373599671901,3.359683794466403
reg0_share,0.3195652173913044,0.25882352941176473,0.13933489877281136,1.2346837944664033
reg1_share,0.43695652173913047,0.6176470588235294,-0.3745999612379134,0.7074534161490683
reg2_share,0.19999999999999998,0.07205882352941177,0.3938147224701666,2.775510204081632
reg3_share,0.043478260869565216,0.051470588235294115,-0.03808089079418502,0.84472049689441
regime_changes,0.17391304347826086,0.14705882352941177,0.07184393945396306,1.1826086956521737
sig_buy_the_dip,1.4582634863558212e-06,3.977381104810982e-06,-0.15239191346184902,0.3666391145148065
sig_earnings_surprise,0.0,0.0,,
sig_flow,-0.0007029492137894971,0.0015586580402366594,-1.6262704006249737,-0.4509964313164962
sig_low_volatility,0.00020824625137990115,-0.00030634711794821543,0.7354790286627166,-0.6797721903657761
sig_mean_reversion,3.9400203285826e-05,4.081514893999811e-05,-0.004697568625031113,0.9653328312913373
sig_momentum_value,-0.013540282700859094,0.03121685086840136,-2.3114527344452696,-0.4337491554782349
sig_quality,-0.0010494325842678816,0.0015238615941681058,-2.2282444344642376,-0.6886666008803636
sig_regime_tilt,-0.0016368807439454617,0.0036207080171953444,-1.2024294630284094,-0.45208857940812763
sig_relative_strength,-0.004247952350567706,0.008524651638191893,-2.638975733683181,-0.49831389373568713
sig_residual_momentum,-0.010315346143592476,0.020622889572913132,-2.7504120093606947,-0.5001891760668221
sig_volume_sentiment,-0.0016014040049507942,0.0019329305208619053,-0.883508509749755,-0.8284850322694054
w_quality,0.0515,0.04706470588235293,0.44654917262310084,1.0942382202224723
w_momentum_value,0.3031260869565218,0.33597058823529413,-0.6874858132819565,0.9022399506716048
w_residual_momentum,0.25652173913043474,0.27694117647058825,-0.518694129419509,0.9262679620257839
w_low_volatility,0.015286956521739128,0.013758823529411763,0.44531682455742777,1.1110656728070338
w_mean_reversion,0.015495652173913044,0.013694117647058822,0.5352524440976292,1.1315553563424474
w_volume_sentiment,0.1727608695652174,0.14373529411764707,0.7147518172859497,1.2019377051805589
w_regime_tilt,0.1260695652173913,0.11520588235294117,0.41399895684939775,1.0942979875903254
w_flow,0.04494347826086956,0.04109705882352941,0.41481814827020946,1.0935935453156551
w_earnings_surprise,0.013669565217391304,0.012270588235294116,0.47103430899713516,1.114010588186252
w_buy_the_dip,0.0008130434782608693,0.0007176470588235293,0.5375571207288977,1.1329294369208835
