start,end,regime_at_entry,regime_at_exit,breadth_entry,breadth_exit
2022-05-09,2022-08-01,STRONG_BULL,STRONG_BULL,0.38144329896907214,0.5670103092783505
2024-12-23,2025-05-19,STRONG_BULL,MILD_BULL,0.4489795918367347,0.5510204081632653
