symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,side,closed_at_end
PSUBNKBEES,2021-02-01,2021-02-08,19.920000076293945,24.920000076293945,0.2510040151029074,7,Other,LONG,
GOLDBEES,2021-02-01,2021-02-08,42.650001525878906,41.130001068115234,-0.035638930911675915,7,Other,LONG,
APOLLOHOSP,2021-02-01,2021-02-08,2528.193603515625,2703.2548828125,0.06924362084194824,7,Healthcare,LONG,
COMMOIETF,2021-02-01,2021-02-08,0.0,0.0,0.0,7,Other,LONG,
HUDCO,2021-02-01,2021-02-08,33.34847640991211,33.465354919433594,0.003504763098764574,7,Real Estate,LONG,
LIQUIDBEES,2021-02-01,2021-02-08,827.1136474609375,828.6905517578125,0.0019065146630281582,7,Other,LONG,
BPCL,2021-02-01,2021-02-08,129.73817443847656,140.3580322265625,0.08185607539222772,7,Energy,LONG,
EICHERMOT,2021-01-25,2021-02-08,2834.080810546875,2795.515380859375,-0.013607738192919827,14,Auto,LONG,
HINDALCO,2021-02-01,2021-02-08,218.39508056640625,252.89627075195312,0.15797604092577666,7,Metals,LONG,
LTIM,2021-02-08,2021-02-15,3886.88818359375,3807.023681640625,-0.02054715705232446,7,IT,LONG,
BAJFINANCE,2021-02-08,2021-02-15,542.5360717773438,546.3464965820312,0.007023357529398089,7,Financials,LONG,
DIVISLAB,2021-01-25,2021-02-15,3438.490478515625,3607.956298828125,0.049284946801905205,21,Pharma,LONG,
AXISBANK,2021-02-08,2021-02-15,716.60791015625,747.2798461914062,0.04280155940292163,7,Financials,LONG,
BAJAJ-AUTO,2021-02-08,2021-02-15,3700.147705078125,3616.897216796875,-0.022499233791936524,7,Auto,LONG,
BAJAJFINSV,2021-02-15,2021-02-22,1025.5728759765625,1022.7440795898438,-0.0027582597521654817,7,Financials,LONG,
INDIGO,2021-01-25,2021-02-22,1639.5294189453125,1563.158447265625,-0.046581031604066014,28,Aviation,LONG,
MAXHEALTH,2021-02-15,2021-02-22,197.2520294189453,205.81304931640625,0.043401428733988334,7,Healthcare,LONG,
LTIM,2021-02-22,2021-03-01,3600.412353515625,3392.34033203125,-0.05779116419295782,7,IT,LONG,
