date,nav,dd,n_positions,regime
2021-01-01,998608.1100000001,0.0013918899999998977,2,0
2021-01-04,1006695.1667145055,0.0,2,0
2021-01-05,1011782.9204028591,0.0,2,0
2021-01-06,1013920.3160019907,0.0,2,0
2021-01-07,1005500.9156524459,0.008303808708305138,2,0
2021-01-08,998939.8160018371,0.014774829701828501,2,0
2021-01-11,989823.2877342335,0.02376619531875505,2,2
2021-01-12,992118.8221263585,0.02150217678012221,2,2
2021-01-13,990287.637112453,0.023308221086568402,2,2
2021-01-14,986034.0340176481,0.02750342560873182,2,2
2021-01-15,989844.212817096,0.02374555752056495,2,2
2021-01-18,984208.3591858571,0.029304035383462265,2,2
2021-01-19,987100.3677013842,0.02645173183466796,2,2
2021-01-20,989402.4536629769,0.024181251674382762,2,2
2021-01-21,992049.1401312862,0.02157090209706531,2,2
2021-01-22,989988.1190482669,0.02360362700699332,2,2
2021-01-25,987108.1362727935,0.026444069919538463,2,0
2021-01-27,984460.0163657893,0.029055833255582492,2,0
2021-01-28,984228.6999848915,0.029283973847350094,2,0
2021-01-29,985496.459928421,0.028033619235137145,2,0
2021-02-01,982849.407882404,0.030644329371072237,2,0
2021-02-02,977974.6003783315,0.035452209662192646,2,0
2021-02-03,975291.7077229066,0.03809826834459864,2,0
2021-02-04,971085.7276657585,0.04224650365537023,2,0
2021-02-05,968736.1283697474,0.04456384482994673,2,0
2021-02-08,970497.7268367395,0.04282643170271182,2,0
2021-02-09,977198.1074627435,0.03621804195032528,2,0
2021-02-10,976152.2492105273,0.03724954140418788,2,0
2021-02-11,976152.2492105273,0.03724954140418788,2,0
2021-02-12,969607.1953510324,0.04370473690249172,2,0
2021-02-15,969489.4994398874,0.04382081694279426,2,2
2021-02-16,971367.6030545456,0.041968498190504314,2,2
2021-02-17,961623.5779474188,0.05157874561660251,2,2
2021-02-18,961025.4690258537,0.052168642980454066,2,2
2021-02-19,956637.1261766584,0.056496737387812426,2,2
2021-02-22,960573.4355944372,0.05261447035394917,2,0
2021-02-23,963419.6705768773,0.049807311904197245,2,0
2021-02-24,962827.4619382407,0.05039138999129168,2,0
2021-02-25,959390.5197926995,0.05378114566666218,2,0
2021-02-26,958443.7627774829,0.05471490446434542,2,0
2021-03-01,955845.839906494,0.05727715992958036,2,0
2021-03-02,950583.441676513,0.062467309635556606,2,0
2021-03-03,948298.4018688357,0.06472097767200295,2,0
2021-03-04,943480.7900044344,0.06947244757389592,2,0
2021-03-05,940330.1732696466,0.0725798088576811,2,0
2021-03-08,940694.9566384716,0.07222003367311496,2,0
2021-03-09,942513.3472724354,0.07042660808999418,2,0
2021-03-10,943731.0337317598,0.06922563949304782,2,0
2021-03-12,939854.3503315678,0.07304909912691548,2,0
2021-03-15,945085.228487004,0.06789003675003943,2,0
2021-03-16,944722.2611623338,0.06824802082328633,2,0
2021-03-17,946053.5451565789,0.06693501429483001,2,0
2021-03-18,946416.0956413356,0.06657744133861755,2,0
2021-03-19,947140.9650324226,0.06586252382523225,2,0
2021-03-22,942553.7284460377,0.07038678131764828,2,0
2021-03-23,943398.2293703357,0.06955387471643928,2,0
2021-03-24,942918.1231989664,0.07002738941359264,2,0
2021-03-25,943039.3628892471,0.06990781424741113,2,0
2021-03-26,941826.9368310694,0.07110359466431654,2,0
