date,from,to,probs
2025-12-01,,0,"[1.0, 0.0, 1.958697531839972e-68, 9.264823971193573e-65]"
2025-12-22,0.0,1,"[0.2689414213697505, 0.7310584242546617, 1.5437559447072817e-07, 1.2599377732079107e-18]"
