timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2024-04-01 00:00:00+00:00,105.01,107.26,104.53,106.88,71986.496,7638068.59723,LTC/USD,LTCUSDT,1h,binance
2024-04-01 01:00:00+00:00,106.86,112.8,106.55,111.23,224419.263,24704932.03313,LTC/USD,LTCUSDT,1h,binance
2024-04-01 02:00:00+00:00,111.22,111.66,109.59,111.02,147090.079,16238812.99584,LTC/USD,LTCUSDT,1h,binance
2024-04-01 03:00:00+00:00,111.0,111.3,109.7,109.92,100436.95,11089660.75921,LTC/USD,LTCUSDT,1h,binance
2024-04-01 04:00:00+00:00,109.9,110.84,109.15,110.65,135104.381,14892847.5022,LTC/USD,LTCUSDT,1h,binance
2024-04-01 05:00:00+00:00,110.64,111.62,103.49,105.28,310027.412,33626149.48017,LTC/USD,LTCUSDT,1h,binance
2024-04-01 06:00:00+00:00,105.33,109.71,104.81,107.96,194896.263,20975746.05444,LTC/USD,LTCUSDT,1h,binance
2024-04-01 07:00:00+00:00,107.95,108.99,107.75,108.35,70883.461,7684336.22841,LTC/USD,LTCUSDT,1h,binance
2024-04-01 08:00:00+00:00,108.35,108.95,104.29,105.7,154907.516,16456826.58987,LTC/USD,LTCUSDT,1h,binance
2024-04-01 09:00:00+00:00,105.7,105.99,104.34,104.9,61706.547,6497159.3399,LTC/USD,LTCUSDT,1h,binance
2024-04-01 10:00:00+00:00,104.9,105.18,103.95,105.07,57838.342,6048076.23362,LTC/USD,LTCUSDT,1h,binance
2024-04-01 11:00:00+00:00,105.07,105.95,104.06,104.21,69180.18,7261809.00654,LTC/USD,LTCUSDT,1h,binance
2024-04-01 12:00:00+00:00,104.22,105.78,103.74,105.18,69157.018,7248573.21548,LTC/USD,LTCUSDT,1h,binance
2024-04-01 13:00:00+00:00,105.17,105.27,103.91,103.94,70761.884,7404884.15359,LTC/USD,LTCUSDT,1h,binance
2024-04-01 14:00:00+00:00,103.94,103.94,99.94,100.47,188307.468,19168353.88846,LTC/USD,LTCUSDT,1h,binance
2024-04-01 15:00:00+00:00,100.47,100.89,97.71,98.39,208029.289,20625647.1405,LTC/USD,LTCUSDT,1h,binance
2024-04-01 16:00:00+00:00,98.42,99.7,98.02,98.82,68400.013,6760319.84429,LTC/USD,LTCUSDT,1h,binance
2024-04-01 17:00:00+00:00,98.82,99.07,97.47,98.4,48120.899,4729472.36507,LTC/USD,LTCUSDT,1h,binance
2024-04-01 18:00:00+00:00,98.41,98.41,97.23,98.04,62355.182,6102037.04986,LTC/USD,LTCUSDT,1h,binance
2024-04-01 19:00:00+00:00,98.03,99.33,97.89,99.32,41323.197,4084338.57615,LTC/USD,LTCUSDT,1h,binance
2024-04-01 20:00:00+00:00,99.32,99.57,98.68,99.56,45067.959,4465557.88639,LTC/USD,LTCUSDT,1h,binance
2024-04-01 21:00:00+00:00,99.55,99.55,98.54,98.76,24622.104,2433492.09193,LTC/USD,LTCUSDT,1h,binance
2024-04-01 22:00:00+00:00,98.75,99.61,98.64,99.4,42656.456,4226093.41473,LTC/USD,LTCUSDT,1h,binance
2024-04-01 23:00:00+00:00,99.39,99.99,99.06,99.2,35103.688,3493487.70212,LTC/USD,LTCUSDT,1h,binance
2024-04-02 00:00:00+00:00,99.21,99.21,97.46,97.62,60087.464,5898459.07074,LTC/USD,LTCUSDT,1h,binance
2024-04-02 01:00:00+00:00,97.62,99.29,97.41,98.95,41333.022,4069122.90418,LTC/USD,LTCUSDT,1h,binance
2024-04-02 02:00:00+00:00,98.94,98.97,93.1,95.44,211074.427,20167749.72882,LTC/USD,LTCUSDT,1h,binance
2024-04-02 03:00:00+00:00,95.45,96.26,94.07,96.09,91261.445,8702733.80229,LTC/USD,LTCUSDT,1h,binance
2024-04-02 04:00:00+00:00,96.08,97.35,95.6,97.07,73282.414,7083120.328,LTC/USD,LTCUSDT,1h,binance
2024-04-02 05:00:00+00:00,97.07,98.73,95.95,97.36,105766.263,10293507.00854,LTC/USD,LTCUSDT,1h,binance
2024-04-02 06:00:00+00:00,97.35,99.34,97.19,99.18,121453.573,11963545.94644,LTC/USD,LTCUSDT,1h,binance
2024-04-02 07:00:00+00:00,99.17,99.42,98.14,98.95,60732.479,6003445.31219,LTC/USD,LTCUSDT,1h,binance
2024-04-02 08:00:00+00:00,98.95,101.41,97.51,98.03,148590.532,14801179.2602,LTC/USD,LTCUSDT,1h,binance
2024-04-02 09:00:00+00:00,98.02,101.62,97.16,100.35,175615.922,17485085.69804,LTC/USD,LTCUSDT,1h,binance
2024-04-02 10:00:00+00:00,100.35,100.89,98.9,99.99,108560.722,10851136.47263,LTC/USD,LTCUSDT,1h,binance
2024-04-02 11:00:00+00:00,99.93,102.95,98.46,102.51,193944.332,19550995.10967,LTC/USD,LTCUSDT,1h,binance
2024-04-02 12:00:00+00:00,102.51,103.31,101.11,102.7,125779.598,12879793.01061,LTC/USD,LTCUSDT,1h,binance
2024-04-02 13:00:00+00:00,102.69,102.79,99.18,101.79,155381.514,15688164.35984,LTC/USD,LTCUSDT,1h,binance
2024-04-02 14:00:00+00:00,101.77,108.7,101.76,107.39,343887.038,36471591.62643,LTC/USD,LTCUSDT,1h,binance
2024-04-02 15:00:00+00:00,107.39,108.7,104.85,105.81,204631.714,21882141.02394,LTC/USD,LTCUSDT,1h,binance
2024-04-02 16:00:00+00:00,105.83,106.87,104.73,105.86,148205.92,15701011.08572,LTC/USD,LTCUSDT,1h,binance
2024-04-02 17:00:00+00:00,105.86,106.65,104.36,106.64,81148.713,8568542.43409,LTC/USD,LTCUSDT,1h,binance
2024-04-02 18:00:00+00:00,106.63,107.31,105.81,106.63,69557.091,7401833.4834,LTC/USD,LTCUSDT,1h,binance
2024-04-02 19:00:00+00:00,106.64,108.19,105.83,107.36,79703.237,8531248.28762,LTC/USD,LTCUSDT,1h,binance
2024-04-02 20:00:00+00:00,107.36,108.05,106.55,107.16,73193.597,7853969.4128,LTC/USD,LTCUSDT,1h,binance
2024-04-02 21:00:00+00:00,107.13,107.16,105.72,106.86,64808.531,6893680.36017,LTC/USD,LTCUSDT,1h,binance
2024-04-02 22:00:00+00:00,106.87,108.99,106.36,108.01,86844.468,9372744.47176,LTC/USD,LTCUSDT,1h,binance
2024-04-02 23:00:00+00:00,108.01,108.08,106.64,106.75,54133.183,5812261.31478,LTC/USD,LTCUSDT,1h,binance
2024-04-03 00:00:00+00:00,106.77,109.86,102.37,105.75,265457.454,28135460.09344,LTC/USD,LTCUSDT,1h,binance
2024-04-03 01:00:00+00:00,105.75,106.57,103.85,104.93,139326.91,14668530.17089,LTC/USD,LTCUSDT,1h,binance
2024-04-03 02:00:00+00:00,104.94,105.21,102.13,102.51,137400.521,14204255.97667,LTC/USD,LTCUSDT,1h,binance
2024-04-03 03:00:00+00:00,102.52,103.65,101.13,103.12,163195.168,16689001.36946,LTC/USD,LTCUSDT,1h,binance
2024-04-03 04:00:00+00:00,103.12,103.48,102.52,103.01,65195.179,6715156.26355,LTC/USD,LTCUSDT,1h,binance
2024-04-03 05:00:00+00:00,103.0,103.52,101.7,102.42,71346.41,7323400.88323,LTC/USD,LTCUSDT,1h,binance
2024-04-03 06:00:00+00:00,102.4,103.16,101.53,102.4,75741.069,7746803.04407,LTC/USD,LTCUSDT,1h,binance
2024-04-03 07:00:00+00:00,102.4,102.66,101.18,101.39,40974.671,4175732.41195,LTC/USD,LTCUSDT,1h,binance
2024-04-03 08:00:00+00:00,101.4,101.92,100.39,101.6,59726.965,6046389.42922,LTC/USD,LTCUSDT,1h,binance
2024-04-03 09:00:00+00:00,101.6,101.95,100.58,101.25,42586.291,4316550.1434,LTC/USD,LTCUSDT,1h,binance
2024-04-03 10:00:00+00:00,101.26,101.29,100.01,100.47,56011.012,5633725.30285,LTC/USD,LTCUSDT,1h,binance
2024-04-03 11:00:00+00:00,100.47,100.69,99.62,100.48,53837.057,5389362.15832,LTC/USD,LTCUSDT,1h,binance
2024-04-03 12:00:00+00:00,100.49,100.87,99.86,100.73,50242.209,5043337.30158,LTC/USD,LTCUSDT,1h,binance
2024-04-03 13:00:00+00:00,100.73,101.38,99.27,99.69,80860.704,8120036.29686,LTC/USD,LTCUSDT,1h,binance
2024-04-03 14:00:00+00:00,99.68,101.44,99.67,100.9,84347.011,8490894.38752,LTC/USD,LTCUSDT,1h,binance
2024-04-03 15:00:00+00:00,100.9,100.9,98.41,98.6,73104.016,7260008.75755,LTC/USD,LTCUSDT,1h,binance
2024-04-03 16:00:00+00:00,98.6,99.54,98.09,99.37,66994.816,6633652.02084,LTC/USD,LTCUSDT,1h,binance
2024-04-03 17:00:00+00:00,99.34,99.69,98.28,98.73,49378.077,4889977.46187,LTC/USD,LTCUSDT,1h,binance
2024-04-03 18:00:00+00:00,98.73,98.75,97.3,97.79,64484.651,6315020.80437,LTC/USD,LTCUSDT,1h,binance
2024-04-03 19:00:00+00:00,97.81,98.5,97.18,98.26,55921.383,5464613.22243,LTC/USD,LTCUSDT,1h,binance
2024-04-03 20:00:00+00:00,98.26,98.77,97.63,97.81,47581.014,4666865.20137,LTC/USD,LTCUSDT,1h,binance
2024-04-03 21:00:00+00:00,97.76,97.99,96.5,97.92,50328.835,4893516.65995,LTC/USD,LTCUSDT,1h,binance
2024-04-03 22:00:00+00:00,97.92,98.54,97.43,98.41,35108.831,3437185.71331,LTC/USD,LTCUSDT,1h,binance
2024-04-03 23:00:00+00:00,98.4,99.15,98.18,98.33,39250.161,3872844.87121,LTC/USD,LTCUSDT,1h,binance
2024-04-04 00:00:00+00:00,98.33,100.42,97.99,99.57,56887.563,5655148.43373,LTC/USD,LTCUSDT,1h,binance
2024-04-04 01:00:00+00:00,99.57,100.7,99.24,99.97,57195.188,5716901.67541,LTC/USD,LTCUSDT,1h,binance
2024-04-04 02:00:00+00:00,99.94,102.01,99.62,100.83,207896.643,20940376.40452,LTC/USD,LTCUSDT,1h,binance
2024-04-04 03:00:00+00:00,100.82,100.94,97.3,98.19,111641.801,11018550.4643,LTC/USD,LTCUSDT,1h,binance
2024-04-04 04:00:00+00:00,98.22,99.82,97.0,99.62,50200.036,4942224.97412,LTC/USD,LTCUSDT,1h,binance
2024-04-04 05:00:00+00:00,99.65,100.82,98.64,100.64,47868.705,4774700.20816,LTC/USD,LTCUSDT,1h,binance
2024-04-04 06:00:00+00:00,100.64,101.38,99.95,100.32,74958.887,7551162.61451,LTC/USD,LTCUSDT,1h,binance
2024-04-04 07:00:00+00:00,100.3,102.09,100.16,101.53,73980.449,7476728.80535,LTC/USD,LTCUSDT,1h,binance
2024-04-04 08:00:00+00:00,101.55,104.3,101.27,103.45,130862.867,13438549.63052,LTC/USD,LTCUSDT,1h,binance
2024-04-04 09:00:00+00:00,103.45,104.0,101.79,102.89,124324.35,12783072.46176,LTC/USD,LTCUSDT,1h,binance
2024-04-04 10:00:00+00:00,102.9,103.06,100.74,101.03,115567.231,11774617.55162,LTC/USD,LTCUSDT,1h,binance
2024-04-04 11:00:00+00:00,101.02,101.25,99.69,100.14,60117.646,6027806.89647,LTC/USD,LTCUSDT,1h,binance
2024-04-04 12:00:00+00:00,100.14,100.53,99.59,100.45,53386.397,5345878.11654,LTC/USD,LTCUSDT,1h,binance
2024-04-04 13:00:00+00:00,100.46,101.69,100.42,100.56,83147.421,8402396.27919,LTC/USD,LTCUSDT,1h,binance
2024-04-04 14:00:00+00:00,100.55,101.02,99.03,99.55,108442.354,10824786.54932,LTC/USD,LTCUSDT,1h,binance
2024-04-04 15:00:00+00:00,99.56,99.62,98.87,99.47,42546.831,4222366.32417,LTC/USD,LTCUSDT,1h,binance
2024-04-04 16:00:00+00:00,99.47,100.17,99.23,99.83,44539.94,4444616.29185,LTC/USD,LTCUSDT,1h,binance
2024-04-04 17:00:00+00:00,99.83,100.91,99.65,100.77,38584.636,3863073.62295,LTC/USD,LTCUSDT,1h,binance
2024-04-04 18:00:00+00:00,100.76,101.18,99.4,99.67,45852.703,4606215.40733,LTC/USD,LTCUSDT,1h,binance
2024-04-04 19:00:00+00:00,99.66,99.74,98.53,98.81,38053.103,3774048.43363,LTC/USD,LTCUSDT,1h,binance
2024-04-04 20:00:00+00:00,98.83,98.93,97.04,98.05,106717.771,10431980.15211,LTC/USD,LTCUSDT,1h,binance
2024-04-04 21:00:00+00:00,98.03,98.29,96.66,97.02,34699.546,3379851.52573,LTC/USD,LTCUSDT,1h,binance
2024-04-04 22:00:00+00:00,97.03,97.45,96.23,96.67,40891.796,3958118.91514,LTC/USD,LTCUSDT,1h,binance
2024-04-04 23:00:00+00:00,96.66,98.51,96.59,98.38,37981.629,3701221.4781,LTC/USD,LTCUSDT,1h,binance
2024-04-05 00:00:00+00:00,98.41,98.99,97.47,97.66,45396.654,4456026.23254,LTC/USD,LTCUSDT,1h,binance
2024-04-05 01:00:00+00:00,97.66,97.7,96.7,97.35,32819.563,3192822.57528,LTC/USD,LTCUSDT,1h,binance
2024-04-05 02:00:00+00:00,97.36,98.84,96.85,97.83,97841.947,9593546.28367,LTC/USD,LTCUSDT,1h,binance
2024-04-05 03:00:00+00:00,97.82,99.49,97.75,98.39,61244.808,6037084.58554,LTC/USD,LTCUSDT,1h,binance
