date,from,to,probs
2023-08-21,1.0,3,"[4.76542620806216e-05, 0.2689334843040199, 7.659958362901757e-06, 0.7310112014755576]"
2023-08-28,3.0,1,"[1.7475441359877348e-05, 0.7309124661408856, 0.00014602566238581548, 0.26892403275537874]"
2023-09-04,1.0,0,"[0.7310360243045503, 0.26890242545434895, 5.368915661242095e-05, 7.861084489384491e-06]"
2023-09-18,0.0,2,"[0.26897080726930783, 1.8886055172701946e-06, 0.7310272070538589, 9.707131615350988e-08]"
2023-09-25,2.0,1,"[1.3373383355698279e-05, 0.7310502017707515, 0.2689363584533663, 6.639253738145036e-08]"
2023-10-09,1.0,0,"[0.7310579644587463, 0.26893895237543086, 3.070387028755447e-06, 1.2778795548162556e-08]"
2023-10-16,0.0,1,"[0.26894119542901573, 0.7310571780389741, 1.6259280706247708e-06, 6.039552638921837e-10]"
2023-10-30,1.0,3,"[9.186674671415177e-06, 0.2688957679426418, 4.5920622904220765e-05, 0.731049124759776]"
2023-11-06,3.0,1,"[3.3795887443441093e-06, 0.7310069843346207, 5.1690552784736233e-05, 0.2689379455238476]"
2023-11-13,1.0,3,"[1.8738269508149216e-05, 0.26892247232420047, 1.9015891672291708e-05, 0.7310397735146151]"
2023-11-20,3.0,0,"[0.7304374234415387, 2.4867084786046265e-08, 1.9126034933525564e-05, 0.2695434256564446]"
2024-01-01,0.0,3,"[0.2635436531582506, 0.0, 0.0015748278367739511, 0.7348815190049848]"
2024-01-08,3.0,0,"[0.6653706161730429, 0.0, 0.06614511467325898, 0.26848426915370693]"
2024-01-15,0.0,1,"[0.24473866038118847, 0.7208143990853257, 0.03434535285573978, 0.00010158767775669472]"
2024-01-29,1.0,3,"[0.0007949290094144648, 0.2651727983238386, 0.003764975349511575, 0.730267297317239]"
2024-02-12,3.0,2,"[0.001118543974588216, 0.06637710274786583, 0.6626592607214881, 0.26984509255605776]"
2024-02-19,2.0,1,"[0.00044884061793975583, 0.7421464549674666, 0.25423251502888716, 0.003172189385718252]"
2024-02-26,1.0,2,"[2.3075882943212045e-05, 0.27956004864962253, 0.7174077403569952, 0.003009135110462792]"
