month,first,last,return_pct
2024-01,100000.0,97615.50586491008,-2.3844941350899207
2024-02,97922.95067247734,106015.16308425026,8.263856793734625
2024-03,106043.73900427518,116764.64406645209,10.10988971422886
2024-04,116848.39708867925,97469.54464066296,-16.584611283378734
2024-05,97419.13329421027,97184.59224361266,-0.24075460606829413
2024-06,97109.10615262452,93613.87494869935,-3.599282644443025
2024-07,93758.16776766414,93007.12306800066,-0.8010445570188596
2024-08,93007.12306800066,94656.16678473474,1.7730294867076113
2024-09,94538.87968398971,100682.66652813047,6.498688015636822
2024-10,101578.46793863192,100675.39361488915,-0.889041095095422
2024-11,100684.785241331,143626.27658827385,42.64943431524091
2024-12,143626.27658827385,124855.88347069372,-13.068912989639259
2025-01,125029.34512635229,118777.61043250344,-5.000213899809647
2025-02,118775.67990527971,112004.91529474533,-5.700463778387865
2025-03,111752.46617624839,104778.18818786863,-6.240826915963005
2025-04,104666.36692946198,101722.62717329248,-2.8124982671399845
2025-05,101964.81107340149,98230.87658836812,-3.661983429112048
2025-06,98319.61648524033,99691.67280351612,1.3955061739706398
2025-07,99683.52067200355,113329.79184153449,13.689595910674468
2025-08,113341.4083604709,118333.43376200763,4.404414479887264
2025-09,118175.43744014906,122726.2541368178,3.8508989644938207
2025-10,122849.14174097875,122290.17107332725,-0.4550057572482391
2025-11,123102.22692584884,124403.2995293945,1.056904197459696
2025-12,123171.07965792596,117816.3222685095,-4.347414510198211
2026-01,117835.26165395339,114952.17403505452,-2.446710414549458
2026-02,114943.18131440121,104896.03988482303,-8.740963417478842
2026-03,104839.12545914298,104993.2032924049,0.1469659657948652
