date,symbol,entry_price,peak_price,exit_price,pnl_pct,effective_stop_pct,weight_at_exit
2021-03-02,TATAELXSI,1795.3902587890625,2754.64599609375,2468.26806640625,0.3747808056344384,0.0963276087563643,0.1383619562273595
2021-03-17,TRENT,684.8014526367188,922.1369018554688,818.1907348632812,0.1947853377252171,0.1,0.017931034482758623
2021-03-23,DIXON,2748.60986328125,4257.970703125,3860.43701171875,0.4045052603828676,0.09334633004157139,0.15326834980877727
2021-04-13,ADANIENT,493.3017578125,1222.4306640625,1103.669189453125,1.2373104737093206,0.09013754296842036,0.16931228518255434
2021-04-20,DEEPAKNTR,1004.845947265625,1683.0333251953125,1533.3682861328125,0.5259734990277827,0.0837190910901946,0.20140454458972934
2021-05-14,TATAELXSI,2593.25146484375,3671.668701171875,3323.156494140625,0.281463266941933,0.08828526260321402,0.17857368701321674
2021-05-20,TATASTEEL,77.43592071533203,106.22367095947266,95.13126373291016,0.22851595040277628,0.08622988832442152,0.18885055841231765
2021-06-15,ADANIENT,1156.19140625,1696.828125,1535.12109375,0.327739581397706,0.0899028014493142,0.17048599277867202
2021-09-21,TATASTEEL,95.82427215576172,132.34701538085938,113.73202514648438,0.1868811793489411,0.09658980948838923,0.13705095256657937
2021-10-20,IRCTC,629.5364379882812,1045.2650146484375,848.3624877929688,0.3475987037445494,0.09309753132379757,0.15451234339826836
2021-10-22,TRENT,794.9644775390625,1168.738037109375,1045.9619140625,0.31573415368248847,0.1,0.02027570362382276
2021-10-26,TRENT,794.9644775390625,1168.738037109375,1036.605712890625,0.3039648212956645,0.1,0.011428571428571425
2021-11-26,TATACONSUM,581.0741577148438,852.701904296875,741.8206787109375,0.27663684378643194,0.1,0.02
2021-11-26,TATAELXSI,4575.1318359375,6379.77001953125,5643.94580078125,0.2336138068084188,0.1,0.11137408626049249
2021-11-30,TATACONSUM,581.0741577148438,852.701904296875,753.33447265625,0.296451515962858,0.1,0.02
2021-11-30,TATAELXSI,4575.1318359375,6379.77001953125,5589.27685546875,0.22166465489916076,0.1,0.09333333333333335
2022-04-28,BDL,292.4060974121094,403.80816650390625,361.3738708496094,0.23586297976645354,0.1,0.06913992986114333
2022-05-10,ADANIENT,1731.01123046875,2391.03369140625,2105.742431640625,0.21648109184733566,0.1,0.063771220702347
2022-08-26,TATAELXSI,7832.0888671875,10381.9921875,9083.9638671875,0.15983922312790955,0.1,0.060263467947270444
2022-09-27,HAL,887.4586791992188,1238.7559814453125,1088.460205078125,0.22649113766093998,0.1,0.050382457338011846
2022-10-04,ADANIENT,2401.955078125,3829.29736328125,3233.264892578125,0.34609715311664235,0.1,0.06913992933257417
2022-12-09,RVNL,44.322689056396484,75.02613830566406,64.82373809814453,0.46254073203145185,0.1,0.06337352042474188
2022-12-16,RVNL,44.322689056396484,75.02613830566406,67.51872253417969,0.5233444534077889,0.1,0.05346764036552107
2022-12-21,COCHINSHIP,209.27735900878906,321.5088806152344,286.83319091796875,0.37058873581218377,0.1,0.04863122547122618
2022-12-21,RVNL,44.322689056396484,75.02613830566406,67.2780990600586,0.5179155527872754,0.1,0.056518548967192904
2022-12-21,SUZLON,8.449999809265137,11.5,10.199999809265137,0.2071005963906869,0.1,0.04477601218759417
2022-12-22,MAZDOCK,190.5857391357422,444.83599853515625,385.2162780761719,1.021222992984835,0.1,0.08414539144835138
2022-12-22,HUDCO,32.952293395996094,50.434444427490234,44.66667556762695,0.3554952012248782,0.1,0.05986818384423566
2022-12-23,TITAGARH,144.20750427246094,206.26010131835938,183.81341552734375,0.2746452860043449,0.1,0.07349168855903906
2022-12-23,PSUBNKBEES,36.290000915527344,50.349998474121094,43.25,0.1917883413856485,0.1,0.09830224993579895
2023-01-11,VBL,203.17233276367188,280.16552734375,243.3730010986328,0.19786487553756626,0.1,0.05549770085941889
2023-01-25,PSUBNKBEES,36.290000915527344,50.349998474121094,44.880001068115234,0.23670432449376166,0.1,0.06341392379721685
2023-02-02,TITAGARH,144.20750427246094,234.0441131591797,205.71141052246094,0.4264958787012674,0.1,0.05550449171696913
2023-05-10,RVNL,66.02685546875,139.6231231689453,120.1064453125,0.8190544507960924,0.1,0.06910937347025987
2023-06-23,MAZDOCK,408.04205322265625,636.0326538085938,570.9133911132812,0.399153314233891,0.1,0.06337478670205356
2023-08-11,MAZDOCK,408.04205322265625,954.6453247070312,847.4757690429688,1.0769324199545842,0.1,0.06904186282226743
2023-08-29,TITAGARH,214.24114990234375,816.410888671875,729.6669311523438,2.405820644096353,0.09436110257506934,0.14819448713875055
2023-09-12,SUZLON,14.75,25.850000381469727,22.799999237060547,0.5457626601396981,0.08730370876566967,0.18348145620339235
2023-09-12,COCHINSHIP,410.4239196777344,588.5199584960938,518.571044921875,0.2635010292018505,0.09975684153999848,0.12121579230061558
2023-09-13,RECLTD,142.27293395996094,243.0196990966797,219.855712890625,0.5453094750439162,0.0734459528709433,0.2527702357116686
2023-10-25,MAZDOCK,408.04205322265625,1104.7894287109375,905.6868896484375,1.219592031006254,0.09119121039044492,0.16404394806979739
