pair,status,binance_symbol,interval,rows,start,end,files
BNB/USD,ok,BNBUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BNB_USD_1h.csv']"
BONK/USD,ok,BONKUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BONK_USD_1h.csv']"
BTC/USD,ok,BTCUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BTC_USD_1h.csv']"
CAKE/USD,ok,CAKEUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\CAKE_USD_1h.csv']"
CFX/USD,ok,CFXUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\CFX_USD_1h.csv']"
CRV/USD,ok,CRVUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\CRV_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\CRV_USD_1h.csv']"
DOGE/USD,ok,DOGEUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\DOGE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\DOGE_USD_1h.csv']"
DOT/USD,ok,DOTUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\DOT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\DOT_USD_1h.csv']"
EDEN/USD,ok,EDENUSDT,1h,4084,2025-09-30 11:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2025-09\\EDEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\EDEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\EDEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\EDEN_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\EDEN_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\EDEN_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\EDEN_USD_1h.csv']"
EIGEN/USD,ok,EIGENUSDT,1h,12826,2024-10-01 05:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-10\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\EIGEN_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\EIGEN_USD_1h.csv']"
ENA/USD,ok,ENAUSDT,1h,17191,2024-04-02 08:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-04\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\ENA_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\ENA_USD_1h.csv']"
ETH/USD,ok,ETHUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\ETH_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\ETH_USD_1h.csv']"
FET/USD,ok,FETUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\FET_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\FET_USD_1h.csv']"
FIL/USD,ok,FILUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\FIL_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\FIL_USD_1h.csv']"
