date,from,to,probs
2021-01-05,,1,"[0.25, 0.25, 0.25, 0.25]"
2022-05-02,1.0,2,"[0.01802438627891835, 0.3128157849763614, 0.6691592999404797, 5.28804260407954e-07]"
2022-05-09,2.0,1,"[0.0075739724004150934, 0.7105713367694806, 0.2811957240764555, 0.0006589667536531591]"
2022-05-16,1.0,2,"[0.006238462380002111, 0.42892248784410525, 0.5644785662881504, 0.0003604834877364905]"
2022-05-23,2.0,1,"[0.004470053522121579, 0.5904658053393852, 0.40480560048008857, 0.00025854065839853575]"
2022-06-13,1.0,2,"[2.977305358075792e-08, 0.34043990323438844, 0.6595599187285439, 1.4826400855268695e-07]"
2022-09-05,2.0,0,"[0.6478160118494982, 0.0032569517365211883, 0.34891722676793546, 9.809646034671621e-06]"
2022-09-19,0.0,1,"[0.20762116024142585, 0.6507854098070075, 0.1415934296155102, 3.3605379644698833e-10]"
2022-10-17,1.0,0,"[0.5617024947001463, 0.3460949118641419, 0.09220225563860981, 3.3779708084872396e-07]"
2022-11-21,0.0,1,"[0.32767048344174293, 0.6705153447746429, 0.0018140627214647653, 1.0906215198571665e-07]"
2022-12-12,1.0,0,"[0.5816865515149648, 0.4173330515648283, 0.0007915054129847031, 0.00018889150720261092]"
2023-01-02,0.0,2,"[0.33909065040469105, 0.0010112063398703794, 0.6579462269642462, 0.001951916291190468]"
2023-01-16,2.0,1,"[7.673970518412026e-05, 0.6611548909250389, 0.3378124335868458, 0.0009559357829396043]"
2023-02-27,1.0,2,"[0.25509087796260993, 0.0004319157760211621, 0.6125310689571514, 0.1319461373042167]"
2023-05-15,2.0,1,"[0.0024218124384418438, 0.6607203099632084, 0.33681062609857404, 4.725149978015802e-05]"
2023-06-12,1.0,2,"[0.09281912615593607, 0.27582365059835007, 0.6313103493557095, 4.687389001315581e-05]"
2023-06-19,2.0,1,"[2.523800471014716e-07, 0.5825629565242614, 0.4174050003732105, 3.179072248212087e-05]"
2023-07-10,1.0,2,"[8.373524909995492e-05, 0.3392859595970602, 0.6606303050860933, 6.773866083375815e-11]"
2023-07-31,2.0,1,"[0.19760312177117773, 0.660671481605941, 0.14161569983626454, 0.0001096967866094289]"
2023-08-21,1.0,2,"[0.00562678936295311, 0.3392337458375581, 0.6551093524778686, 3.01123216154668e-05]"
2023-09-18,2.0,1,"[1.4847474809075055e-05, 0.5825429021882575, 0.4174079751292198, 3.427520771081201e-05]"
2023-09-25,1.0,2,"[0.0007052438243666535, 0.417443286801811, 0.5818269038113445, 2.456556246044098e-05]"
2023-10-09,2.0,1,"[0.0005053292817475095, 0.5825798748085426, 0.41689719391503266, 1.7601994664762054e-05]"
2023-11-06,1.0,2,"[3.1489804560317786e-06, 0.4174235184321512, 0.5825549980305558, 1.8334556813707617e-05]"
2023-12-11,2.0,1,"[9.578783342786343e-08, 0.5825855301282813, 0.4172656838619295, 0.00014869022198263495]"
2023-12-18,1.0,2,"[8.39355501441987e-08, 0.41763282473582686, 0.5822347991047045, 0.00013229222393383228]"
2024-01-15,2.0,1,"[6.651179470964615e-08, 0.6644215024842351, 0.33551228664531435, 6.614435867873254e-05]"
2024-02-19,1.0,2,"[0.2796109837193061, 0.14428755629923679, 0.5760413390077745, 6.0120973689159994e-05]"
2024-03-04,2.0,1,"[0.08720901200793113, 0.6608682364890834, 0.2519082761505481, 1.4475352438812683e-05]"
2024-04-15,1.0,0,"[0.5823107622404913, 0.417386013992444, 0.00029314227784526457, 1.008148919982162e-05]"
2024-04-29,0.0,2,"[0.1975478910040879, 0.14161607300475454, 0.6608262166289504, 9.819362180071526e-06]"
2024-06-03,2.0,1,"[0.012789491722985217, 0.676016481499452, 0.31110937175188147, 8.465502570826545e-05]"
2024-07-15,1.0,2,"[0.00833973532953392, 0.3390896975781219, 0.6525629032670823, 7.663825268138455e-06]"
2025-04-28,2.0,1,"[0.0025871480721195413, 0.6513091787070884, 0.3457656068186393, 0.0003380664021708186]"
2025-06-16,1.0,2,"[0.19529416755613865, 0.19177995798472855, 0.6129090988833388, 1.6775575789030622e-05]"
2025-09-08,2.0,1,"[0.005430085500829799, 0.659765326153559, 0.33480389987207343, 6.884735625431968e-07]"
