timestamp,nav_usd
2025-01-01 00:00:00+00:00,100000.0
2025-01-01 01:00:00+00:00,99927.31125316716
2025-01-01 02:00:00+00:00,99944.89480057477
2025-01-01 03:00:00+00:00,99774.68650330626
2025-01-01 04:00:00+00:00,99689.83548440173
2025-01-01 05:00:00+00:00,99789.19803562945
2025-01-01 06:00:00+00:00,99820.3400758986
2025-01-01 07:00:00+00:00,99636.95497472762
2025-01-01 08:00:00+00:00,99388.93108740545
2025-01-01 09:00:00+00:00,99293.14487713386
2025-01-01 10:00:00+00:00,99326.65626510771
2025-01-01 11:00:00+00:00,99470.13375016565
2025-01-01 12:00:00+00:00,99563.85308680327
2025-01-01 13:00:00+00:00,99555.91076980869
2025-01-01 14:00:00+00:00,99538.05806055877
2025-01-01 15:00:00+00:00,99808.29669311366
2025-01-01 16:00:00+00:00,99977.71038153765
2025-01-01 17:00:00+00:00,99920.54930057832
2025-01-01 18:00:00+00:00,100601.56597171031
2025-01-01 19:00:00+00:00,100766.65210988079
2025-01-01 20:00:00+00:00,100658.11733380333
2025-01-01 21:00:00+00:00,100682.14716283858
2025-01-01 22:00:00+00:00,100691.13987721424
2025-01-01 23:00:00+00:00,100579.94319778748
2025-01-02 00:00:00+00:00,101153.44572189206
2025-01-02 01:00:00+00:00,100692.00156141
2025-01-02 02:00:00+00:00,100628.0960169328
2025-01-02 03:00:00+00:00,100891.66496130929
2025-01-02 04:00:00+00:00,100295.50016672909
2025-01-02 05:00:00+00:00,99770.7703291121
2025-01-02 06:00:00+00:00,99370.53319206688
2025-01-02 07:00:00+00:00,99773.25243326114
2025-01-02 08:00:00+00:00,99863.88957269298
2025-01-02 09:00:00+00:00,100324.36657731669
2025-01-02 10:00:00+00:00,100323.42447329618
2025-01-02 11:00:00+00:00,100380.6092110124
2025-01-02 12:00:00+00:00,100507.2064471327
2025-01-02 13:00:00+00:00,100224.7947508962
2025-01-02 14:00:00+00:00,100126.97063096738
2025-01-02 15:00:00+00:00,99779.89466959858
2025-01-02 16:00:00+00:00,100278.61872097914
2025-01-02 17:00:00+00:00,100422.96445283238
2025-01-02 18:00:00+00:00,100255.09874517107
2025-01-02 19:00:00+00:00,99768.41188450156
2025-01-02 20:00:00+00:00,99607.44201268538
2025-01-02 21:00:00+00:00,99671.4266039248
2025-01-02 22:00:00+00:00,100129.95376044684
2025-01-02 23:00:00+00:00,99962.57963145582
2025-01-03 00:00:00+00:00,100202.36995043643
2025-01-03 01:00:00+00:00,100562.13614099903
2025-01-03 02:00:00+00:00,101403.97036192784
2025-01-03 03:00:00+00:00,101916.8095857157
2025-01-03 04:00:00+00:00,101277.02432067588
2025-01-03 05:00:00+00:00,101458.6861862149
2025-01-03 06:00:00+00:00,101974.54637105577
2025-01-03 07:00:00+00:00,101610.97874674035
2025-01-03 08:00:00+00:00,101348.07540007053
2025-01-03 09:00:00+00:00,102235.13024871316
2025-01-03 10:00:00+00:00,102243.6432771873
2025-01-03 11:00:00+00:00,103002.126545691
2025-01-03 12:00:00+00:00,102970.10115767195
2025-01-03 13:00:00+00:00,102729.2728312467
2025-01-03 14:00:00+00:00,103747.29737982544
2025-01-03 15:00:00+00:00,103904.14459304087
2025-01-03 16:00:00+00:00,103813.63760173609
2025-01-03 17:00:00+00:00,103663.90603487987
2025-01-03 18:00:00+00:00,104033.28388638623
2025-01-03 19:00:00+00:00,104614.61595065577
2025-01-03 20:00:00+00:00,104650.55158262653
2025-01-03 21:00:00+00:00,104199.07816908427
2025-01-03 22:00:00+00:00,104220.7562095813
2025-01-03 23:00:00+00:00,103891.96514173521
2025-01-04 00:00:00+00:00,103582.71577096352
2025-01-04 01:00:00+00:00,104519.34554893905
2025-01-04 02:00:00+00:00,104380.35965252024
2025-01-04 03:00:00+00:00,104477.57679025223
2025-01-04 04:00:00+00:00,104273.56698944498
2025-01-04 05:00:00+00:00,104302.85860857842
2025-01-04 06:00:00+00:00,104487.84182777815
2025-01-04 07:00:00+00:00,104253.55156323762
2025-01-04 08:00:00+00:00,103546.93657264594
2025-01-04 09:00:00+00:00,104096.53633739853
2025-01-04 10:00:00+00:00,104345.61474695159
2025-01-04 11:00:00+00:00,104392.05384998299
2025-01-04 12:00:00+00:00,104686.46097893268
2025-01-04 13:00:00+00:00,105369.28191834569
2025-01-04 14:00:00+00:00,105499.82388867575
2025-01-04 15:00:00+00:00,103864.05804743516
2025-01-04 16:00:00+00:00,103857.13516346319
2025-01-04 17:00:00+00:00,104092.1773257149
2025-01-04 18:00:00+00:00,104135.2933257701
2025-01-04 19:00:00+00:00,104401.25054511687
2025-01-04 20:00:00+00:00,104787.79231971723
2025-01-04 21:00:00+00:00,104847.31585401512
2025-01-04 22:00:00+00:00,105133.1502793202
2025-01-04 23:00:00+00:00,104708.46869815263
2025-01-05 00:00:00+00:00,104369.72307636029
2025-01-05 01:00:00+00:00,104088.76256784912
2025-01-05 02:00:00+00:00,103809.63242310102
2025-01-05 03:00:00+00:00,103813.82110991224
2025-01-05 04:00:00+00:00,104388.29576192856
2025-01-05 05:00:00+00:00,103940.7395606974
2025-01-05 06:00:00+00:00,104059.69878686078
2025-01-05 07:00:00+00:00,103874.32873875799
2025-01-05 08:00:00+00:00,103599.54699861855
2025-01-05 09:00:00+00:00,103409.46037754553
2025-01-05 10:00:00+00:00,103971.3535162625
2025-01-05 11:00:00+00:00,103859.59253268025
2025-01-05 12:00:00+00:00,103674.93121214252
2025-01-05 13:00:00+00:00,103467.11650750515
2025-01-05 14:00:00+00:00,103803.73446843566
2025-01-05 15:00:00+00:00,104092.57877051571
2025-01-05 16:00:00+00:00,103589.04776931083
2025-01-05 17:00:00+00:00,103395.26624568284
2025-01-05 18:00:00+00:00,103333.24151251416
2025-01-05 19:00:00+00:00,103569.78435614204
2025-01-05 20:00:00+00:00,103757.95989723649
2025-01-05 21:00:00+00:00,103953.5153469356
2025-01-05 22:00:00+00:00,104274.8871557787
2025-01-05 23:00:00+00:00,104290.28836452798
2025-01-06 00:00:00+00:00,103630.35397374324
2025-01-06 01:00:00+00:00,104416.80420097304
2025-01-06 02:00:00+00:00,105289.50384024586
2025-01-06 03:00:00+00:00,105270.64466651093
2025-01-06 04:00:00+00:00,105244.54486435544
2025-01-06 05:00:00+00:00,105165.59541870742
2025-01-06 06:00:00+00:00,104658.85184156633
2025-01-06 07:00:00+00:00,104505.2975472788
2025-01-06 08:00:00+00:00,104197.95108843545
2025-01-06 09:00:00+00:00,104323.6314607124
2025-01-06 10:00:00+00:00,104656.17747639336
2025-01-06 11:00:00+00:00,105102.69739615396
2025-01-06 12:00:00+00:00,104636.07642125495
2025-01-06 13:00:00+00:00,104791.95470974306
2025-01-06 14:00:00+00:00,105112.71648800341
2025-01-06 15:00:00+00:00,105437.80320320313
2025-01-06 16:00:00+00:00,105395.41277255227
2025-01-06 17:00:00+00:00,104787.1703800268
2025-01-06 18:00:00+00:00,104654.68137611926
2025-01-06 19:00:00+00:00,104588.13415754109
2025-01-06 20:00:00+00:00,104460.35614115314
2025-01-06 21:00:00+00:00,103947.84491201545
2025-01-06 22:00:00+00:00,103737.64459152546
2025-01-06 23:00:00+00:00,103669.04620966261
2025-01-07 00:00:00+00:00,103322.57447516313
2025-01-07 01:00:00+00:00,103416.6349120363
2025-01-07 02:00:00+00:00,102825.81608661532
2025-01-07 03:00:00+00:00,102963.87011435906
2025-01-07 04:00:00+00:00,102794.59245326812
2025-01-07 05:00:00+00:00,102841.18368976371
2025-01-07 06:00:00+00:00,102837.54579969472
2025-01-07 07:00:00+00:00,102834.3431660136
2025-01-07 08:00:00+00:00,103396.97346424614
2025-01-07 09:00:00+00:00,103062.08155029356
2025-01-07 10:00:00+00:00,102964.18920005644
2025-01-07 11:00:00+00:00,102405.98373025176
2025-01-07 12:00:00+00:00,102623.7110560669
2025-01-07 13:00:00+00:00,103082.33434513744
2025-01-07 14:00:00+00:00,102085.36773780113
2025-01-07 15:00:00+00:00,99583.42081903861
2025-01-07 16:00:00+00:00,99180.99345165779
2025-01-07 17:00:00+00:00,98354.5154805544
2025-01-07 18:00:00+00:00,97459.08662859262
2025-01-07 19:00:00+00:00,97104.34776045787
2025-01-07 20:00:00+00:00,96915.31923139063
2025-01-07 21:00:00+00:00,96231.21384157383
2025-01-07 22:00:00+00:00,96844.24242631876
2025-01-07 23:00:00+00:00,96530.6026576964
2025-01-08 00:00:00+00:00,96706.37986187643
2025-01-08 01:00:00+00:00,96399.3728863482
2025-01-08 02:00:00+00:00,96302.26407702679
2025-01-08 03:00:00+00:00,96145.2366382701
2025-01-08 04:00:00+00:00,95837.0123795419
2025-01-08 05:00:00+00:00,95779.33661729906
2025-01-08 06:00:00+00:00,95167.40961565402
2025-01-08 07:00:00+00:00,95591.4164030093
2025-01-08 08:00:00+00:00,95776.31239490595
