symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,closed_at_end
COALINDIA,2021-01-05,2021-01-11,87.54906463623047,89.11186981201172,0.017850621046321402,6,Energy,
BAJFINANCE,2021-01-05,2021-01-11,510.9598693847656,497.8141174316406,-0.025727562457994013,6,Financials,
ONGC,2021-01-05,2021-01-11,69.76238250732422,72.4247817993164,0.03816382405965957,6,Energy,
SRF,2021-01-05,2021-01-11,1116.05810546875,1161.164794921875,0.0404160762169099,6,Chemicals,
VBL,2021-01-05,2021-01-18,83.50430297851562,78.62351989746094,-0.05844947993051852,13,FMCG,
ITBEES,2021-01-05,2021-01-18,25.350000381469727,26.799999237060547,0.057199165040279,13,Other,
ASIANPAINT,2021-01-11,2021-01-18,2722.864990234375,2479.934814453125,-0.08921859021748246,7,Consumer Disc.,
DMART,2021-01-05,2021-01-18,2898.449951171875,2820.949951171875,-0.026738429610856596,13,Retail,
NV20BEES,2021-01-11,2021-01-18,76.94999694824219,78.33999633789062,0.01806367049739288,7,Other,
ASTRAL,2021-01-05,2021-01-18,1000.5213623046875,944.3732299804688,-0.05611887405870308,13,Capital Goods,
BANKBEES,2021-01-18,2021-01-25,324.30999755859375,314.0799865722656,-0.03154392730208644,7,Other,
SRF,2021-01-18,2021-01-25,1143.9346923828125,1060.7567138671875,-0.07271217410354569,7,Chemicals,
JUNIORBEES,2021-01-11,2021-02-01,357.260009765625,332.7900085449219,-0.0684935356654004,21,Other,
WIPRO,2021-01-18,2021-02-01,202.13357543945312,193.04873657226562,-0.04494472948116812,14,IT,
SBIN,2021-01-18,2021-02-01,280.3674621582031,260.2983703613281,-0.07158138694978311,14,Financials,
DMART,2021-01-25,2021-02-01,2862.75,2651.5,-0.07379268186184618,7,Retail,
BHARTIARTL,2021-02-01,2021-02-08,531.0950927734375,557.4772338867188,0.04967498565183637,7,Telecom,
EICHERMOT,2021-01-18,2021-02-08,2724.1533203125,2795.515380859375,0.026196051453773794,21,Auto,
JSWSTEEL,2021-01-05,2021-02-08,381.5827941894531,380.7308349609375,-0.0022326982282451224,34,Metals,
MOTHERSON,2021-01-05,2021-02-08,43.723079681396484,41.29328536987305,-0.05557235055785148,34,Auto,
TATACONSUM,2021-01-05,2021-02-08,581.0741577148438,570.0106201171875,-0.01903980318306564,34,FMCG,
LTIM,2021-01-05,2021-02-15,3623.688232421875,3807.023681640625,0.050593604487938704,41,IT,
BAJAJ-AUTO,2021-02-08,2021-02-15,3700.147705078125,3616.897216796875,-0.022499233791936524,7,Auto,
BAJFINANCE,2021-01-25,2021-02-15,487.0927734375,546.3464965820312,0.12164771553962339,21,Financials,
AXISBANK,2021-02-01,2021-02-15,660.1436767578125,747.2798461914062,0.13199576471223473,14,Financials,
DIVISLAB,2021-01-05,2021-02-15,3746.526123046875,3607.956298828125,-0.03698621594183826,41,Pharma,
BAJAJFINSV,2021-02-15,2021-02-22,1025.5728759765625,1022.7440795898438,-0.0027582597521654817,7,Financials,
INDIGO,2021-01-05,2021-02-22,1742.006103515625,1563.158447265625,-0.10266764042276266,48,Aviation,
MAXHEALTH,2021-02-15,2021-02-22,197.2520294189453,205.81304931640625,0.043401428733988334,7,Healthcare,
ICICIBANK,2021-02-01,2021-03-01,519.3797607421875,578.1363525390625,0.113128381654519,28,Financials,
LTIM,2021-02-22,2021-03-01,3600.412353515625,3392.34033203125,-0.05779116419295782,7,IT,
WIPRO,2021-02-22,2021-03-01,198.615234375,189.5379180908203,-0.04570302128506942,7,IT,
IOC,2021-02-08,2021-03-01,45.908592224121094,47.371299743652344,0.031861301962614386,21,Energy,
ASTRAL,2021-02-08,2021-03-01,1115.6038818359375,1185.7679443359375,0.06289334739901742,21,Capital Goods,
BAJFINANCE,2021-02-22,2021-03-01,538.5589599609375,515.7302856445312,-0.0423884402889928,7,Financials,
TATAPOWER,2021-03-01,2021-03-08,91.40875244140625,103.1290512084961,0.1282185617247391,7,Utilities,
M&M,2021-02-15,2021-03-08,866.7537231445312,801.7388916015625,-0.07500957862297819,21,Auto,
BDL,2021-03-01,2021-03-08,164.57962036132812,169.91212463378906,0.03240075691482103,7,Defence,
SHRIRAMFIN,2021-01-11,2021-03-08,236.59085083007812,235.40391540527344,-0.005016827238417454,56,Financials,
CGPOWER,2021-03-01,2021-03-08,55.76375198364258,60.949928283691406,0.09300264267673586,7,Capital Goods,
APOLLOHOSP,2021-03-01,2021-03-15,3019.17431640625,2937.936279296875,-0.026907368901466167,14,Healthcare,
ICICIBANK,2021-03-08,2021-03-15,589.4525146484375,592.7409057617188,0.005578720985256247,7,Financials,
INDIGO,2021-03-08,2021-03-15,1739.0611572265625,1661.142822265625,-0.044804827384679724,7,Aviation,
BANKBEES,2021-02-01,2021-03-15,307.05999755859375,356.1600036621094,0.15990362305056127,42,Other,
TORNTPOWER,2021-03-01,2021-03-15,339.7588195800781,366.85589599609375,0.07975385730826945,14,Utilities,
MAZDOCK,2021-03-08,2021-03-15,103.01280212402344,102.57157135009766,-0.004283261544468564,7,Defence,
GRAVITA,2021-03-08,2021-03-22,101.33235168457031,97.42179870605469,-0.03859135718756912,14,Metals,
TATAPOWER,2021-03-15,2021-03-22,108.79708099365234,100.05487823486328,-0.08035328410418585,7,Utilities,
COCHINSHIP,2021-03-15,2021-03-22,171.69793701171875,162.3599395751953,-0.05438619472688311,7,Defence,
NBCC,2021-03-01,2021-03-22,27.105093002319336,28.496715545654297,0.05134173652220575,21,Industrials,
BEL,2021-01-05,2021-03-22,40.29206085205078,39.660091400146484,-0.015684714024056468,76,Defence,
HINDZINC,2021-03-08,2021-03-22,207.21629333496094,188.52059936523438,-0.09022308848805316,14,Metals,
NHPC,2021-03-15,2021-03-22,20.533145904541016,20.407690048217773,-0.006109918904121603,7,Utilities,
APOLLOHOSP,2021-03-22,2021-04-05,2896.725341796875,2856.698486328125,-0.013817967099331807,14,Healthcare,
ONGC,2021-03-15,2021-04-05,84.20695495605469,76.37543487548828,-0.09300324521476244,21,Energy,
ASTRAL,2021-03-15,2021-04-05,1395.06201171875,1252.327880859375,-0.10231382523528332,21,Capital Goods,
AXISBANK,2021-03-22,2021-04-12,723.230224609375,665.421630859375,-0.07993110877137788,21,Financials,
ITC,2021-04-05,2021-04-12,172.98397827148438,167.52049255371094,-0.031583767308200894,7,FMCG,
INDIGO,2021-03-22,2021-04-12,1660.79345703125,1644.1715087890625,-0.010008437937791492,21,Aviation,
BANKBEES,2021-03-22,2021-04-19,342.5400085449219,322.3900146484375,-0.05882522740067553,28,Other,
ICICIBANK,2021-03-22,2021-04-19,567.4005737304688,548.3469848632812,-0.03358048925103574,28,Financials,
SUNPHARMA,2021-04-12,2021-04-19,606.05908203125,614.91064453125,0.014605114851729217,7,Pharma,
JSWENERGY,2021-04-12,2021-04-26,97.42572784423828,99.41400909423828,0.02040817445242804,14,Utilities,
LTIM,2021-03-15,2021-04-26,3784.548095703125,3676.177490234375,-0.028635018693986547,42,IT,
