month,first,last,return_pct
2024-01,100000.0,91744.65526881523,-8.255344731184767
2024-02,92043.28554741279,103974.66515024586,12.962791942805051
2024-03,104341.77752194375,119230.60670320905,14.269288423933624
2024-04,119430.75254283688,99894.8504341731,-16.357514034466735
2024-05,99760.67727309628,101936.21779743093,2.180759577623026
2024-06,101891.98084753659,94814.9439965555,-6.9456269199149485
2024-07,94980.04716939991,94025.55501631327,-1.0049396494658192
2024-08,94130.82496782482,91036.31752196669,-3.2874538674402154
2024-09,90947.4895192695,96513.51856204822,6.120046932795686
2024-10,97521.09357934096,99694.5446611107,2.228698430254439
2024-11,99694.32433121973,153874.52226275325,54.34632141297009
2024-12,153510.5279043082,144851.49743070255,-5.640675328146427
2025-01,145371.30911120653,148548.21016069688,2.1853700492303396
2025-02,148692.06055729312,135275.52865606494,-9.023031795338266
2025-03,134954.8490153178,132043.7260233044,-2.1571088502962854
2025-04,131958.75246590519,135468.6298317056,2.659829151315507
2025-05,136333.22769137367,131247.29877984078,-3.73051309475797
2025-06,131350.71979121515,129741.81245615632,-1.2248941898576726
2025-07,129743.4251289093,137864.88582830483,6.259631801246424
2025-08,138068.9366030017,146957.21790097107,6.437567722800974
2025-09,146546.0161586434,158455.32158028375,8.126666103804503
2025-10,158568.34281587947,165161.4734888523,4.157911065910791
2025-11,165716.95980942214,185082.32717133575,11.685808974642175
2025-12,183352.15223344494,172497.90547282336,-5.9198905649069715
2026-01,172586.97054795804,169350.62596932723,-1.8751963536734695
2026-02,169343.8286516601,161137.91875014012,-4.845709446193947
2026-03,160880.5729148031,162290.24539694164,0.876222937672555
