month,first,last,return_pct
2024-09,100000.0,116272.44378659633,16.272443786596334
2024-10,116309.66980788084,121783.55720285935,4.706304646913906
2024-11,121801.34023272885,202760.51023479324,66.46820950194284
2024-12,199864.24387916445,222612.9263844663,11.38206717908754
2025-01,223300.97390548157,218586.89021486175,-2.1110896240941535
2025-02,218596.63974432947,207005.4062514664,-5.302567096374478
2025-03,206670.42925878317,201206.9618159732,-2.643565149791638
2025-04,200914.88657742017,225634.74735193665,12.30364817441787
2025-05,225726.67777831358,232361.11342819908,2.939145569847623
2025-06,232834.80950202313,244760.64215656015,5.1220144788674205
2025-07,244724.02368367644,292045.8870963099,19.336827950246693
2025-08,292027.9364929525,314438.7815950767,7.674212738432673
2025-09,314548.4248627386,364744.0228969797,15.957987408821172
2025-10,365510.0410123837,434782.91835102136,18.95238695680337
2025-11,434938.45919914613,440840.1718599298,1.3569075201237624
2025-12,434765.3500957138,403963.1908838236,-7.084777847431745
2026-01,403820.7925842443,408278.38271068555,1.1038535430320406
2026-02,408768.142496137,382616.36796378944,-6.397703689101631
2026-03,381451.23865064525,372421.55263741076,-2.367192736134849
