date,symbol,side,quantity,entry_price,exit_price,weight,pnl,pnl_pct,holding_days,signal_alpha,regime,sector,trade_type
2021-01-11,JUNIORBEES,BUY,168,357.260009765625,0,0.060270809887394396,0,0,0,1.94542259138441,0,Other,REBALANCE
2021-01-11,COALINDIA,SELL,676,89.11186981201172,0,0.0,0,0,0,0.26228276539162176,0,Energy,REBALANCE
2021-01-11,NV20BEES,BUY,469,76.94999694824219,0,0.036144758758590995,0,0,0,1.129657220915282,0,Other,REBALANCE
2021-01-11,ONGC,SELL,451,72.4247817993164,0,0.0,0,0,0,0.8172368220294002,0,Energy,REBALANCE
2021-01-11,ASIANPAINT,BUY,11,2722.864990234375,0,0.030673797174458433,0,0,0,0.9446695913944757,0,Consumer Disc.,REBALANCE
2021-01-11,BEL,BUY,258,40.537559509277344,0,0.04661074691069683,0,0,0,1.4835398594012967,0,Defence,REBALANCE
2021-01-11,SHRIRAMFIN,BUY,205,236.59085083007812,0,0.048632047714311226,0,0,0,1.55188536550897,0,Financials,REBALANCE
2021-01-11,SRF,SELL,25,1161.164794921875,0,0.0,0,0,0,0.5951785333332777,0,Chemicals,REBALANCE
2021-01-11,TATASTEEL,BUY,128,61.393489837646484,0,0.056521413092001586,0,0,0,1.8186455928500607,0,Metals,REBALANCE
2021-01-11,INDIGO,SELL,3,1729.3775634765625,0,0.04477583648943101,0,0,0,1.421496694702443,0,Aviation,REBALANCE
2021-01-11,CHOLAFIN,SELL,14,426.1402587890625,0,0.06526770510981822,0,0,0,2.1143807715275598,0,Financials,REBALANCE
2021-01-11,DIXON,BUY,2,3067.12548828125,0,0.07153657771491245,0,0,0,2.3263478740408408,0,Capital Goods,REBALANCE
2021-01-11,TATAELXSI,SELL,2,1950.19970703125,0,0.05089380729970489,0,0,0,1.6283614067169068,0,IT,REBALANCE
2021-01-11,VBL,SELL,75,86.91470336914062,0,0.034961910261950946,0,0,0,1.0896619819461069,0,FMCG,REBALANCE
2021-01-11,BAJFINANCE,SELL,80,497.8141174316406,0,0.0,0,0,0,0.7018725954219602,0,Financials,REBALANCE
2021-01-18,JUNIORBEES,SELL,38,353.760009765625,0,0.04661183823105987,0,0,0,1.4835398594012967,0,Other,REBALANCE
