timestamp,pair,side,quantity,price,value,commission
2024-10-01 00:00:00+00:00,SUI/USD,BUY,7257.744078761348,1.8169,13186.595216701493,1.3186595216701493
2024-10-01 00:00:00+00:00,UNI/USD,BUY,1901.7392473448774,7.54,14339.113924980376,1.4339113924980378
2024-10-01 00:00:00+00:00,SEI/USD,BUY,14630.747327764384,0.4724,6911.565037635894,0.6911565037635895
2024-10-01 00:00:00+00:00,TRX/USD,BUY,127959.05310300704,0.1563,20000.0,2.0
2024-10-01 00:00:00+00:00,XRP/USD,BUY,28317.842342280263,0.6202,17562.72582068222,1.756272582068222
2024-10-01 12:00:00+00:00,TRX/USD,SELL,63406.382306032574,0.1569,9948.461383816511,0.9948461383816511
2024-10-01 12:00:00+00:00,XRP/USD,SELL,14184.614736084208,0.6293,8926.378053417791,0.8926378053417792
2024-10-01 12:00:00+00:00,APT/USD,BUY,690.5462202574219,8.24,5690.1008549211565,0.5690100854921156
2024-10-02 00:00:00+00:00,UNI/USD,SELL,900.5837057023987,6.938,6248.2497501632415,0.6248249750163242
2024-10-02 00:00:00+00:00,TRX/USD,SELL,32882.69274846226,0.1533,5040.916798339264,0.5040916798339263
2024-10-02 00:00:00+00:00,XRP/USD,SELL,7054.76438620936,0.6023,4249.084589813897,0.4249084589813897
2024-10-02 00:00:00+00:00,ETH/USD,BUY,1.5623474419338028,2464.22,3849.967813362115,0.3849967813362115
2024-10-02 00:00:00+00:00,BTC/USD,BUY,0.08635619645803315,61046.26,5271.7228215881705,0.5271722821588171
2024-10-02 12:00:00+00:00,SUI/USD,SELL,1782.4957845039226,1.8302,3262.323784799079,0.32623237847990794
2024-10-02 12:00:00+00:00,UNI/USD,SELL,497.1954065977086,6.909,3435.1230641835687,0.3435123064183569
2024-10-02 12:00:00+00:00,SEI/USD,SELL,9690.861768560088,0.4255,4123.4616825223175,0.41234616825223175
2024-10-02 12:00:00+00:00,APT/USD,SELL,510.881175156121,7.61,3887.805742938081,0.38878057429380813
2024-10-03 00:00:00+00:00,TRX/USD,SELL,23783.266017312984,0.1541,3665.0012932679306,0.3665001293267931
2024-10-03 00:00:00+00:00,ETH/USD,BUY,1.2844929823468836,2372.16,3047.022873003983,0.30470228730039833
2024-10-03 00:00:00+00:00,BTC/USD,BUY,0.06469805584923775,60988.01,3945.805677113871,0.3945805677113871
2024-10-03 12:00:00+00:00,ETH/USD,SELL,1.4185201917618626,2352.35,3336.8559730910174,0.33368559730910174
2024-10-03 12:00:00+00:00,XRP/USD,SELL,6057.929996807459,0.5203,3151.940977338921,0.3151940977338921
2024-10-04 00:00:00+00:00,SUI/USD,SELL,3232.621475548746,1.6305,5270.78931588223,0.527078931588223
2024-10-04 00:00:00+00:00,UNI/USD,SELL,503.96013504477014,6.534,3292.875522382528,0.3292875522382528
2024-10-04 00:00:00+00:00,TRX/USD,BUY,54813.01555159959,0.1568,8594.680838490814,0.8594680838490815
2024-10-04 12:00:00+00:00,BTC/USD,SELL,0.08248557421715456,61932.24,5108.516378954629,0.5108516378954628
2024-10-04 12:00:00+00:00,APT/USD,BUY,2699.2514296947184,8.92,24077.322752876888,2.407732275287689
2024-10-04 12:00:00+00:00,TRX/USD,BUY,121920.48637702502,0.1573,19178.092507106037,1.917809250710604
